Year,ReuseArea_20t_ha,N_applied_kg_per_ha,P_applied_kg_per_ha,N_usable_kg_per_ha,P_usable_kg_per_ha,Percent_saved_N,Percent_saved_P,Percent_saved_total,Cost_reduction_per_ha,Cost_reduction_total_USD,Cost_reduction_per_ha_limiting,Cost_reduction_total_USD_limiting,gN_per_kg_sediment,gP_per_kg_sediment,kgN_recovered_per_ha_20t,kgP_recovered_per_ha_20t
2002.0,0.0506345041862031,10.065330697735355,1.8864211081981264,4.026132279094142,1.207309509246801,0.026840881860627615,0.05487770496576368,0.026840881860627615,14.09264207214325,0.7135739439965992,10.780371790502475,0.5458587805550233,0.5032665348867679,0.0943210554099063,10.065330697735355,1.8864211081981264
2003.0,0.6788303688206714,3.894863267009288,1.057015322909858,1.5579453068037152,0.6764898066623092,0.010386302045358101,0.0307495366664686,0.010386302045358101,6.577266891635622,4.4648485098810005,4.171554353497627,2.8317777803402717,0.1947431633504644,0.0528507661454929,3.894863267009288,1.057015322909858
2004.0,1.8185385070066684,2.831211441447426,0.6586318907106915,1.1324845765789704,0.4215244100548426,0.007549897177193136,0.0191602004570383,0.007549897177193136,4.403981931728758,8.00881072701036,3.032340702247851,5.5144283334013595,0.1415605720723713,0.0329315945355345,2.831211441447426,0.6586318907106915
2005.0,0.9972005446079022,15.213160001045772,1.8652556206548836,6.085264000418309,1.1937635972191256,0.0405684266694554,0.054261981691778434,0.0405684266694554,17.91165947785731,17.861516586150604,16.293902887520066,16.24828883322328,0.7606580000522887,0.0932627810327441,15.213160001045772,1.8652556206548836
2006.0,4.095326015730375,5.494909988377727,1.144531090497093,2.197963995351091,0.7324998979181395,0.014653093302340606,0.03329544990536998,0.014653093302340606,8.08767640303397,33.12167158015368,5.885268393952081,24.102092763307677,0.2747454994188864,0.0572265545248546,5.494909988377727,1.144531090497093
2007.0,0.4525171709607141,9.91628053466632,1.5750885146784384,3.9665122138665283,1.0080566493942007,0.02644341475911019,0.045820756790645484,0.02644341475911019,12.909972291454597,5.841984138510242,10.620733103849016,4.806064097682561,0.495814026733316,0.0787544257339219,9.91628053466632,1.5750885146784384
2008.0,2.58903818285392,3.283335396440398,0.7933085026911272,1.3133341585761593,0.5077174417223215,0.008755561057174396,0.023078065532832794,0.008755561057174396,5.208644221757807,13.485378771032403,3.516583543003524,9.104569066031845,0.1641667698220199,0.0396654251345563,3.283335396440398,0.7933085026911272
2009.0,0.3623889597735436,15.434925887354128,2.626229995857839,6.173970354941652,1.680787197349017,0.04115980236627768,0.07639941806131895,0.04115980236627768,20.694631220603945,7.499505880931762,16.531423022391767,5.990805192660962,0.7717462943677064,0.1313114997928919,15.434925887354128,2.626229995857839
2010.0,0.075101822012129,18.013107458718093,2.7477033924912364,7.205242983487238,1.7585301711943915,0.04803495322324825,0.07993318959974506,0.04803495322324825,23.06121625810476,1.7319393587993994,19.292758612585427,1.4489213234453597,0.9006553729359046,0.1373851696245618,18.013107458718093,2.7477033924912364
2011.0,0.3715859747916951,7.476170214867023,1.171310839016434,2.990468085946809,0.7496389369705178,0.01993645390631206,0.034074497135023536,0.01993645390631206,9.67754577397115,3.5960402800123195,8.007277346931176,2.975391958386879,0.3738085107433511,0.0585655419508217,7.476170214867023,1.171310839016434
2012.0,0.7520802835224345,3.92110191306728,0.9146729289034472,1.5684407652269121,0.5853906744982063,0.010456271768179414,0.02660866702264574,0.010456271768179414,6.107900968334231,4.593631891991761,4.19965699297158,3.1584792219710405,0.196055095653364,0.0457336464451723,3.92110191306728,0.9146729289034472
2013.0,3.2984271240725764,3.156895362862619,0.7391211257276082,1.2627581451450478,0.4730375204656693,0.008418387634300318,0.021501705475712243,0.008418387634300318,4.926824379224785,16.250771167977064,3.38116120944038,11.152513844080186,0.1578447681431309,0.0369560562863804,3.156895362862619,0.7391211257276082
2014.0,3.851583600390432,3.946719926826742,1.0052928483838444,1.5786879707306969,0.6433874229656604,0.01052458647153798,0.029244882862075473,0.01052458647153798,6.438710726006613,24.799232639945043,4.227094910428514,16.281009434300326,0.197335996341337,0.0502646424191922,3.946719926826742,1.0052928483838444
2015.0,1.0420155642322797,5.112096322404415,1.2758422044583275,2.0448385289617663,0.8165390108533297,0.013632256859745109,0.03711540958424226,0.013632256859745109,8.249559308020117,8.596169197014238,5.475259645148025,5.705305768457151,0.2556048161202207,0.0637921102229163,5.112096322404415,1.2758422044583275
2016.0,1.8642932668691117,4.701416223730512,1.328052364533818,1.880566489492205,0.8499535133016436,0.012537109929948033,0.03863425060462016,0.012537109929948033,8.118521031570094,15.1353040960914,5.0354048322643274,9.387471324750575,0.2350708111865256,0.0664026182266909,4.701416223730512,1.328052364533818
2017.0,3.6591071666429382,3.5958817049342104,0.9671728447617068,1.4383526819736843,0.6189906206474924,0.009589017879824562,0.028135937302158746,0.009589017879824562,6.042466201807297,22.110031383230815,3.851333141252737,14.09244069828735,0.1797940852467105,0.0483586422380853,3.5958817049342104,0.9671728447617068
2018.0,0.7910659541983184,6.249876064392648,1.2481929786444337,2.4999504257570595,0.7988435063324376,0.01666633617171373,0.03631106846965625,0.01666633617171373,9.014695933686031,7.131219040589041,6.693867260007102,5.295290491314401,0.3124938032196324,0.0624096489322216,6.249876064392648,1.2481929786444337
2019.0,1.4832675496896477,7.370489798241355,1.5473006920128525,2.948195919296542,0.9902724428882257,0.019654639461976948,0.04501238376764662,0.019654639461976948,10.889853305780235,16.15256602934436,7.894089393508421,11.709046631740271,0.3685244899120677,0.0773650346006426,7.370489798241355,1.5473006920128525
2020.0,1.605150668618712,3.6183577221744514,0.894678718671817,1.4473430888697807,0.572594379949963,0.009648953925798539,0.026027017270452864,0.009648953925798539,5.810310258295186,9.32642339598468,3.875405854757725,6.2206102989332335,0.1809178861087225,0.0447339359335908,3.6183577221744514,0.894678718671817
2021.0,1.688755371147317,2.883301494870709,1.0699020740034615,1.1533205979482837,0.6847373273622154,0.0076888039863218915,0.031124423971009788,0.0076888039863218915,5.856815378057353,9.89072842751256,3.088131233066324,5.215098206648542,0.1441650747435354,0.053495103700173,2.883301494870709,1.0699020740034615
2022.0,1.4989237618324565,4.399493115272333,1.6252717422043934,1.759797246108933,1.040173915010812,0.011731981640726221,0.04728063250049146,0.011731981640726221,8.911750718753943,13.358034911867758,4.71203310618128,7.062978389396318,0.2199746557636166,0.0812635871102196,4.399493115272333,1.6252717422043934
2023.0,0.3333772250706836,8.428108077581697,1.7056964465837017,3.371243231032679,1.0916457258135692,0.02247495487355119,0.049620260264253147,0.02247495487355119,12.233787254270629,4.0784660469338405,9.0268408754131,3.00934316219984,0.4214054038790848,0.085284822329185,8.428108077581697,1.7056964465837017
